text	label
如果没有人相信你，那就自己相信自己；如果没人欣赏你，那就自己欣赏自己；如果没人祝福你，那就自己祝福自己。用心去触摸属于自己的阳光，用爱去创造属于自己的时空。当自己读懂了自己，世界才能读懂你。	0
老外的汉语“四六级”听力，这难度，我也是醉了！http://t.cn/RUJ3THD	0
曾诚落地时踩在黄博文脚上不慎受伤	0
长得丑怎么了？不喜欢自己现在的样子的怎么办？一个幽默治愈的小短片http://t.cn/RU8AtYg	0
昨晚我发的互动话题是：“女生恢复单身是什么感觉 _________________” 5万评论，看得好爽！不介意孤独，比爱你舒服。原来整个世界一下子变得美好了。。。。。(｡•ω<｡)	0
生命中最难的阶段不是没有人懂你，而是你不懂你自己。	0
给每一个烦恼一段期限，在有限的时间内尽力解决，剩下的时间，请还给快乐的自己。	0
这个我必须转一下：请不要这样欺骗老人，谢谢！	0
#萌萌# 第一次看到萌萌踩奶……感觉是踢奶……	0
这哥们儿脾气很冲啊！	0
#足球·亚冠决赛# 萌萌哒的马云，全情投入。[笑cry]	0
#杨洋icon# 就得这么看[偷乐]简直实力撩妹[doge]羊毛们闭上眼睛带走最后一张吧[哈哈]	0
你可以摸我了。	0
深夜食堂 【9道风味炒饭】上班族必学技能，省事、省力、省钱转~	0
“不要活得太累，不要忙的太疲惫；想吃了不要太嫌贵，想穿了不要说浪费；心烦了找个朋友聚聚会，瞌睡了倒下头就去睡。心态平和永远最美，天天快乐才对。”[心]	0
以怎样的轨迹生活，才能与你不期而遇。[悲伤]	0
#晚安#【九部横扫国际大奖的高逼格电影】：部部看哭，唯有爱不分国界！	0
努力过后才知道，许多事情，坚持坚持就过来了。	0
这种呆比游戏看着莫名的爽，好想玩！	0
Dream Room  🌟	0
【instiz】在#我的女儿琴四月# 下集预告中登场的刘在石,据悉大神一人分饰三角.	0
刚刚看完老炮儿演唱会，结果见证了影帝👍哎，又来抢我们饭碗[偷笑]	0
【我们要活着年轻，要年轻地活着[心]】刘德华超棒的演讲，天道酬勤，努力付出才有回报！[good] http://t.cn/RLFFOvM	0
既见君子，云胡不喜。论颜值这才叫无人能及~	0
当女孩上了一辆出租车后，善良的的哥告诉她的，看哭了。[泪]	0
【丧失了喜欢人的能力是怎样的体验？】容易喜欢上一个人，也容易很快让感情熄灭。年轻时可以为爱情奋不顾身，现在却连付出真心都做不到了。[失望][伤心]	0
【男生有哪些细节能体现他是情场高手？】遇到一个对的人不容易，女生们长点心吧[喵喵]	0
好烦	0
人生是一条有无限多的一个岔口，每个人都要不停地做选择，而不同的选择也必定造就不同的人生。其实每一个岔口的选择并没有真正的好与坏，因为每一段人生都是我们自己独一无二的选择。	0
置顶 有些人，我们叫着亲爱的，却并不喜欢，有些人我们骂着傻逼，却是真的爱着。	0
又是一个神模仿，表情我给满分！完全看不懂，简直太污了！！！[笑cry]http://t.cn/RUmuJHm	0
这图太魔性了，谁能告诉我这三个人是谁，哈哈。关注后方可评论。[哈哈]#大叔神吐槽#	0
